x: 36
y: 40
room type: 1
unlock time: 20

-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,36,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,7,4,4,4,4,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,27,28,29,30,8,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,5,38,1,42,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,32,33,34,6,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,0,19,22,19,0,13,4,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,4,14,19,55,22,0,0,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,22,20,0,0,0,2,38,13,18,-1,-1,-1,-1,-1,-1,-1,-1,17,14,59,3,21,19,0,0,19,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,0,55,0,0,22,0,24,2,13,4,18,-1,-1,-1,-1,17,4,14,3,19,22,22,0,20,22,0,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,0,19,22,25,20,19,0,0,2,42,10,-1,-1,-1,-1,9,42,3,0,0,0,20,0,0,0,23,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,20,0,19,0,22,0,19,0,0,22,13,4,4,4,4,14,20,22,22,0,0,0,0,19,0,20,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,0,0,22,0,0,22,0,0,22,0,1,38,1,37,38,3,21,0,0,19,0,0,0,0,22,0,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,0,19,0,0,0,19,51,20,0,0,0,20,0,53,25,0,0,0,0,22,0,22,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,22,22,0,19,0,22,20,0,22,19,0,0,0,0,0,0,0,20,0,0,25,0,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,0,0,22,22,0,0,0,0,0,0,0,19,0,0,0,20,0,0,0,0,0,22,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,22,24,25,22,0,0,22,0,20,0,22,0,22,22,0,0,0,22,0,19,19,22,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,19,19,0,20,0,22,0,0,0,0,19,0,0,0,19,0,22,0,0,0,0,51,-1,-1,-1,-1,-1,-1,-1,
