7,4,4,4,4,4,4,4,4,4,4,8
5,1,1,1,1,1,1,1,1,1,1,6
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
11,4,4,4,4,4,4,4,4,4,4,12
2,1,1,1,1,1,1,1,1,1,1,3

0,0,0,0,0,0,0,0,0,0,0,0
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
3,3,3,3,3,3,3,3,3,3,3,3
